DepMap_ID,Cluster
ACH-001562,4
ACH-001563,4
ACH-001566,1
ACH-001567,4
ACH-001568,1
ACH-001570,3
ACH-001574,0
ACH-001577,0
ACH-001603,0
ACH-001605,3
ACH-001607,3
ACH-001608,3
ACH-001609,3
ACH-001610,2
ACH-001611,3
ACH-001616,0
ACH-001618,0
ACH-001619,3
ACH-001622,4
ACH-001623,4
ACH-001624,3
ACH-001625,3
ACH-001626,2
ACH-001627,1
ACH-001628,4
ACH-001630,1
ACH-001632,1
ACH-001634,0
ACH-001641,1
ACH-001645,3
ACH-001647,0
ACH-001648,3
ACH-001649,2
ACH-001650,3
ACH-001651,2
ACH-001652,2
ACH-001653,1
ACH-001654,3
ACH-001655,2
ACH-001656,0
ACH-001664,3
ACH-001668,3
ACH-001669,0
ACH-001670,1
ACH-001673,1
ACH-001674,0
ACH-001677,0
ACH-001685,1
ACH-001687,2
ACH-001688,4
ACH-001690,3
ACH-001692,1
ACH-001694,3
ACH-001696,3
ACH-001698,1
ACH-001699,2
ACH-001701,1
ACH-001702,3
ACH-001707,0
ACH-001709,0
ACH-001711,2
ACH-001715,2
ACH-001719,2
ACH-001735,0
ACH-001736,0
ACH-001737,0
ACH-001740,2
ACH-001745,2
ACH-001750,4
ACH-001765,1
ACH-001786,1
ACH-001791,4
ACH-001793,3
ACH-001794,4
ACH-001795,4
ACH-001796,4
ACH-001799,3
ACH-001802,3
ACH-001804,4
ACH-001814,3
ACH-001819,1
ACH-001820,1
ACH-001834,2
ACH-001835,2
ACH-001836,3
ACH-001838,4
ACH-001839,2
ACH-001841,2
ACH-001842,2
ACH-001843,4
ACH-001844,2
ACH-001848,3
ACH-001849,3
ACH-001850,2
ACH-001852,3
ACH-001853,1
ACH-001856,4
ACH-001857,2
ACH-001858,3
ACH-001861,2
ACH-001862,4
ACH-001863,1
ACH-001864,1
ACH-001959,4
ACH-001960,3
ACH-001961,2
ACH-001970,1
ACH-001973,2
ACH-001977,2
ACH-001982,2
ACH-001991,0
ACH-001992,3
ACH-001993,0
ACH-001997,3
ACH-001999,1
ACH-002001,4
ACH-002002,4
ACH-002003,4
ACH-002004,2
ACH-002005,2
ACH-002014,1
ACH-002015,4
ACH-002016,4
ACH-002017,3
ACH-002018,2
ACH-002019,1
ACH-002021,1
ACH-002023,2
ACH-002024,0
ACH-002025,1
ACH-002026,2
ACH-002027,2
ACH-002029,1
ACH-002039,1
ACH-002041,3
ACH-002042,4
ACH-002044,1
ACH-002045,2
ACH-002046,3
ACH-002048,2
ACH-002055,0
ACH-002059,0
ACH-002061,0
ACH-002062,0
ACH-002066,3
ACH-002067,2
ACH-002069,4
ACH-002080,0
ACH-002084,1
ACH-002446,2
ACH-002458,2
ACH-002459,3
ACH-002460,2
ACH-002461,4
ACH-002462,4
ACH-002463,4
ACH-002464,4
ACH-002465,4
ACH-002467,4
ACH-002471,2
ACH-002508,4
ACH-002510,1
ACH-002511,3
ACH-002647,3
ACH-002659,1
ACH-002664,3
ACH-002669,3
ACH-002672,3
ACH-002680,4
ACH-002687,2
ACH-002693,2
ACH-002710,4
ACH-002785,3
ACH-002800,3
ACH-002834,3
ACH-002847,4
ACH-002926,1
